번호,도로명우편번호,도로명전체주소,인허가일자,영업상태명,폐업일자,사업장명,좌표번호 x,좌표번호y
7161,32244,충청남도 홍성군 홍성읍 온천1길 30,2023-05-02,영업/정상,,한울산업동물병원,36.59140347,126.6437508
7162,7806,"서울특별시 강서구 공항대로 228, 2층 201,202,203,211,212호 (마곡동)",2023-05-30,영업/정상,,율동물의료센터,37.55862848,126.8298176
7163,7966,"서울특별시 양천구 등촌로 10, 1~2층 (목동)",2023-09-07,영업/정상,,24시 로운동물의료센터,37.53074663,126.8613753
7164,14549,"경기도 부천시 신흥로 190, 위브더스테이트 1단지 202,203,204호 (중동)",2023-04-19,영업/정상,,해든고양이병원,37.50140303,126.77432
7165,46772,"부산광역시 강서구 명지국제6로232번길 14-8, 1층 (명지동)",2023-05-04,영업/정상,,테디펫닥터동물병원,35.09568249,128.9205952
7166,10078,"경기도 김포시 모담공원로 131, 1층 (운양동)",2023-05-30,영업/정상,,한강동물메디컬센터,37.65012113,126.6900489
7167,50144,"경상남도 거창군 거창읍 거함대로4길 59, 2층",2023-05-17,영업/정상,,강우동물병원,35.68281906,127.9112296
7168,59320,"전라남도 장흥군 장흥읍 북부로 39, 1층 101호 (수창아트빌아파트)",2023-05-30,영업/정상,,대성동물병원,34.68567376,126.9042793
7169,38874,경상북도 영천시 금호읍 금호로 360-22,2023-04-19,영업/정상,,한국동물병원,35.93866018,128.8950043
7170,12059,"경기도 남양주시 진접읍 해밀예당1로 220, 엠타워 201호",2023-05-18,영업/정상,,24시 공감365동물의료센터,37.72005967,127.1995429
7171,10401,"경기도 고양시 일산동구 중앙로1275번길 60-17, 트루엘 파크스테이 319, 320호 (장항동)",2023-04-21,영업/정상,,행복한 동물병원,37.65941455,126.7652046
7172,7295,"서울특별시 영등포구 선유로 52, 1층 우측호 (문래동3가)",2023-04-17,영업/정상,,김앤정동물병원,37.51848307,126.8864603
7173,50127,경상남도 거창군 거창읍 거열로 235,2023-05-11,영업/정상,,조은동물병원,35.69309652,127.9153283
7174,58217,"전라남도 나주시 우정로 103, 빛가람 중흥S-CLASS센트럴2차 상가동 243동 124호 (빛가람동)",2023-04-17,영업/정상,,동산동물병원,35.0246841,126.7884647
7175,50142,"경상남도 거창군 거창읍 송정2길 33, 3층 303호 (거창푸르지오)",2023-05-11,영업/정상,,상동물병원,35.68143616,127.8972601
7176,32827,"충청남도 계룡시 계룡대로 245, 반석빌딩 1층 (금암동)",2023-05-10,영업/정상,,주동물병원,36.26857926,127.2565557
7177,16698,"경기도 수원시 영통구 덕영대로 1509, 2(일부)층 (영통동)",2023-05-10,영업/정상,,권앤정 동물외과병원,37.24615879,127.0530503
7178,29033,"충청북도 옥천군 옥천읍 삼양로 40, 메이플 동물병원",2023-04-17,영업/정상,,메이플동물병원,36.30642984,127.5632007
7179,50420,"경상남도 밀양시 밀양대로 2109, 3층 (교동)",2023-05-10,영업/정상,,나와소동물병원,35.50396448,128.7508676
7180,12618,"경기도 여주시 청심로 50, 2층 201호 (하동)",2023-04-05,영업/정상,,블루축산동물병원,37.30081228,127.6231705
7181,32746,충청남도 금산군 금산읍 비단로 59,2023-04-05,영업/정상,,제일동물병원,36.09933675,127.4842213
7182,50143,경상남도 거창군 거창읍 수남로 2287,2023-05-10,영업/정상,,아림동물병원,,
7183,17977,"경기도 평택시 팽성읍 신흥북로49번길 34, B1층 4호",2023-04-13,영업/정상,,이삭동물병원,36.96545819,127.044073
7184,16919,"경기도 용인시 기흥구 구성로 88, (주)시간과공간 1층 102~103호 (언남동)",2023-04-13,영업/정상,,동물병원 감동,37.29416439,127.1160605
7185,18497,"경기도 화성시 동탄대로 181, 판매시설A동 214~216호 (송동, 동탄린스트라우스더레이크)",2023-05-03,영업/정상,,이루동물병원,37.17131723,127.1020923
7186,55311,"전라북도 완주군 고산면 고산로 120, 1층",2023-04-13,영업/정상,,푸르메 동물병원,35.97429356,127.2069775
7187,18479,"경기도 화성시 동탄광역환승로 73, 207동 1층 E025호 (오산동, 동탄역 반도유보라 아이비파크 8.0)",2023-05-03,영업/정상,,여울동물병원,37.20236395,127.0878727
7188,50237,경상남도 합천군 합천읍 문화로 55,2023-05-24,영업/정상,,기쁨 동물병원,35.56100542,128.1569385
7189,61413,"광주광역시 동구 중앙로290번길 2, 1층 (계림동)",2023-05-24,영업/정상,,모던동물병원,35.15750228,126.9179849
7190,12633,"경기도 여주시 세종로 163, 103호 (홍문동)",2023-04-04,영업/정상,,카카오 동물병원,37.28347839,127.6329897
7191,31176,"충청남도 천안시 동남구 서부대로 285, 1층 106호 (신방동)",2023-04-05,영업/정상,,내안에 동물병원,36.79340913,127.1252539
7192,37139,"경상북도 상주시 화서면 화령로 13, 1층 3호",2023-05-12,영업/정상,,수현동물병원,36.44404882,127.9455496
7193,31774,"충청남도 당진시 시청2로 6-11, 1층 102호 (수청동)",2023-04-18,영업/정상,,어썸펫동물병원,36.89045542,126.6405629
7194,1779,"서울특별시 노원구 동일로203가길 29, 263,264,265호 (중계동, 브라운스톤중계)",2023-05-12,영업/정상,,베리굿동물병원,37.63993585,127.0613675
7195,22883,"인천광역시 서구 봉오재3로 120, 301,302호 (가정동)",2023-05-08,영업/정상,,이영수 고양이 병원,37.52711387,126.6702399
7196,54362,전라북도 김제시 봉남로 984 (황산동),2023-04-11,영업/정상,,소앤소동물병원(출장전문),35.78431951,126.9119612
7197,63236,"제주특별자치도 제주시 연북로 556, 1층 (아라일동)",2023-04-18,영업/정상,,힘찬동물메디컬센터,33.48641571,126.5361761
7198,39131,"경상북도 구미시 선산읍 선주로 16-7, 1층",2023-05-22,영업/정상,,위드동물병원,36.23973001,128.2902376
7199,63247,"제주특별자치도 제주시 인다6길 45, 1층 101호 (아라일동)",2023-04-18,영업/정상,,아라i동물병원,33.47519317,126.5451301
7200,22776,"인천광역시 서구 봉오대로 270, 302동 B121호 (가정동, 루원시티2차 SK Leaders' VIEW)",2023-05-26,영업/정상,,루원 센트럴 동물의료센터,,
7201,22762,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 2층 212,213호 (청라동)",2023-08-29,영업/정상,,W 인천심장동물병원,37.53231074,126.6445702
7202,5550,"서울특별시 송파구 오금로 147, 1층 (방이동)",2023-04-12,영업/정상,,샤인아이안과동물병원,37.51088297,127.1086053
7203,16670,"경기도 수원시 권선구 곡반정로 155-1, 2층 (곡반정동)",2023-05-23,영업/정상,,하늘동물병원,37.24177761,127.0300822
7204,11168,경기도 포천시 가산면 가산로 230,2023-05-25,영업/정상,,한림동물병원,37.84035352,127.1748935
7205,54902,"전라북도 전주시 덕진구 동부대로 877, 남촌빌딩 A동 2층 (호성동1가)",2023-05-24,영업/정상,,패밀리 동물병원,35.86436974,127.1456538
7206,7997,"서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 지하2층 (목동)",2023-06-01,영업/정상,,펫사랑동물병원,37.52937304,126.8731939
7207,22004,"인천광역시 연수구 인천타워대로180번길 11, B동 213-215호 (송도동, 더샵송도센트럴파크Ⅲ)",2023-04-26,영업/정상,,24시 송도 온 동물의료센터,37.38915003,126.63574
7208,34227,대전광역시 유성구 원내로51번길 22 (원내동),2003-03-10,영업/정상,,다원축산동물병원,36.30085929,127.3184396
7209,34089,"대전광역시 유성구 노은서로108번길 47, 102호 (노은동)",2003-04-16,영업/정상,,수사랑 동물병원,36.36970162,127.3145279
7210,34086,"대전광역시 유성구 노은로 166, 계룡프라자 2층 204호 (지족동)",2015-07-30,영업/정상,,이솜동물병원,36.37447141,127.3155315
7211,34117,대전광역시 유성구 신성로62번길 30 (신성동),2015-08-13,영업/정상,,신성동물병원,36.38798248,127.3457447
7212,34134,"대전광역시 유성구 대학로 99, 충남대학교 (궁동)",2015-10-12,영업/정상,,대전야생동물구조관리센터 동물병원,36.3696055,127.3413943
7213,34184,대전광역시 유성구 한밭대로492번길 16-8 (봉명동),2015-12-18,영업/정상,,24시간 대전동물메디컬센터 숲,36.35917364,127.3498214
7214,34198,"대전광역시 유성구 월드컵대로 300, 102호 (상대동)",2016-07-21,영업/정상,,베스트 동물병원,36.3482422,127.3306107
7215,34073,"대전광역시 유성구 지족로 292, 101호 (지족동)",2016-10-09,영업/정상,,행복드림 동물병원,36.38750473,127.3061887
7216,34193,"대전광역시 유성구 원신흥로55번길 6-4, 1층 (원신흥동)",2017-01-11,영업/정상,,예담동물병원,36.33857994,127.3393961
7217,34184,"대전광역시 유성구 한밭대로 502, 홈플러스 3층 (봉명동)",2004-09-22,영업/정상,,쿨펫 양한방 동물병원,36.35846702,127.3514502
7218,34009,대전광역시 유성구 송강로 4 (송강동),2005-05-13,영업/정상,,행복한 동물병원,36.4323687,127.3842385
7219,34009,대전광역시 유성구 구즉로52번길 46 (송강동),2004-04-21,영업/정상,,송강동물병원,36.43276637,127.3846119
7220,34017,대전광역시 유성구 관들1길 17 (관평동),2011-08-31,영업/정상,,테크노 웰 동물병원,36.42618234,127.3851118
7221,34190,"대전광역시 유성구 봉명로 27-7, 2층 (원신흥동)",2011-12-09,영업/정상,,쿠쿠펫길동물병원,36.34238689,127.339836
7222,34018,대전광역시 유성구 관평2로 20 (관평동),2012-06-21,영업/정상,,하모니동물병원,36.4248526,127.3870238
7223,34134,"대전광역시 유성구 대학로 99, 충남대학교 (궁동)",1983-06-13,영업/정상,,충남대학교 수의과대학 부속동물병원,36.3696055,127.3413943
7224,34136,대전광역시 유성구 유성대로822번길 36-20 (장대동),1996-05-16,영업/정상,,유성동물병원,36.3646223,127.3360175
7225,34086,대전광역시 유성구 은구비로 46 (지족동),2002-03-27,영업/정상,,노은동물병원,36.37572434,127.3172429
7226,34071,대전광역시 유성구 지족로349번길 40-12(지족동),2008-10-10,영업/정상,,늘푸른 동물병원,36.38748461,127.3135421
7227,34052,대전광역시 유성구 엑스포로 459 (전민동),2009-11-18,영업/정상,,조은동물병원,36.39730775,127.4016869
7228,,,2010-10-08,영업/정상,,국군의학연구소 동물병원,,
7229,34924,"대전광역시 중구 중교로 83-2, 1층 (은행동)",2010-11-11,영업/정상,,늘 동물병원,36.32718285,127.4257373
7230,35055,대전광역시 중구 보문산로 72 (산성동),2011-10-26,영업/정상,,닥터 펫 에이스 동물병원,36.30506978,127.3854824
7231,34941,"대전광역시 중구 보문로 235, 1층 (대흥동)",2013-09-03,영업/정상,,꿀벌 동물병원,36.32362409,127.4190966
7232,34810,"대전광역시 중구 목동로56번길 5, 1층 (목동)",2015-10-12,영업/정상,,올리브 동물병원,36.33558775,127.4044134
7233,34966,대전광역시 중구 계백로 1608 (유천동),2017-05-30,영업/정상,,마이펫 동물병원,36.3184791,127.3959168
7234,34930,"대전광역시 중구 충무로 155, 제일동물병원 (문창동)",2018-01-12,영업/정상,,제일동물병원,36.32032423,127.4306713
7235,34813,대전광역시 중구 동서대로 1433-1 (중촌동),2002-07-16,영업/정상,,푸우동물병원,36.33598698,127.4118583
7236,34887,대전광역시 중구 태평로 36 (유천동),2003-11-14,영업/정상,,청운동물병원,36.319999,127.3899757
7237,35055,대전광역시 중구 보문산로64번길 4 (산성동),2005-05-12,영업/정상,,서울동물병원,36.30472913,127.3846468
7238,34926,"대전광역시 중구 대흥로165번길 48, 2층 (대흥동)",2018-04-18,영업/정상,,투투 동물병원,36.32706301,127.4262662
7239,34528,대전광역시 동구 비래서로 54 (가양동),2005-09-27,영업/정상,,다사랑동물병원,36.3540014,127.447363
7240,34551,"대전광역시 동구 동서대로 1689, 대전복합터미널(서관) 3층 (용전동)",2011-12-19,영업/정상,,웰니스 동물병원,36.35038323,127.433748
7241,34695,"대전광역시 동구 동구청로 89-2, 201-1호 (가오동, 제이타워)",2012-02-29,영업/정상,,닥터리동물병원,36.30627552,127.4540754
7242,34590,대전광역시 동구 우암로171번길 72 (성남동),2012-05-17,영업/정상,,레인보우동물병원,36.34469102,127.4315667
7243,34909,대전광역시 중구 계백로 1697-1 (오류동),1988-12-30,영업/정상,,금비동물병원,36.32139969,127.4050875
7244,35023,대전광역시 중구 대종로 309 (부사동),2000-03-04,영업/정상,,굿모닝동물병원,36.31338997,127.4315126
7245,34692,대전광역시 동구 은어송로 39 (가오동),2015-02-13,영업/정상,,더 펫 동물병원,36.30533958,127.451275
