번호,도로명우편번호,도로명전체주소,인허가일자,영업상태명,폐업일자,사업장명,좌표번호 x,좌표번호y
1,61157,광주광역시 북구 삼정로 95 (두암동),2012-12-24,폐업,2021-09-27,엔젤동물병원,35.17048985,126.934315
2,61087,"광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)",2013-03-12,폐업,2014-12-16,첨단동물병원,35.20655038,126.8566028
3,61124,광주광역시 북구 서하로 319-1 (오치동),2015-05-26,폐업,2023-04-04,김앤강 동물병원,35.18708839,126.912668
4,61027,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",2016-01-21,폐업,2017-01-03,광주광역시동물보호소부속동물병원,35.22249284,126.8785494
5,,광주광역시 북구 하서로 367 (양산동),1991-07-10,폐업,2018-12-12,운암동물병원,35.20787258,126.8704766
6,,광주광역시 북구 동문대로 79 (우산동),1996-04-17,폐업,2023-02-02,말바우동물병원,35.17130559,126.9196746
7,61027,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",2017-01-05,폐업,2017-12-23,광주동물보호소 부속 동물병원,35.22249284,126.8785494
8,,대구광역시 북구 대현로 27 (대현동),1981-08-24,폐업,2009-12-31,북부동물병원,35.88580781,128.6006457
9,,대구광역시 북구 동북로 193 (산격동),1992-04-13,폐업,2021-12-31,복현동물병원,35.89826058,128.6108887
10,,,1993-08-10,폐업,1993-08-10,세진동물병원,,
11,,대구광역시 북구 침산남로 157 (침산동),2000-08-10,폐업,2012-09-17,플러스동물병원,35.88789364,128.5903705
12,,,2002-08-09,폐업,2006-05-15,강북동물병원약품,,
13,,대구광역시 북구 동변로 80 (동변동),2003-03-14,폐업,2013-11-25,수동물병원,35.92016108,128.6009729
14,,대구광역시 북구 칠곡중앙대로46길 12 (태전동),1981-08-24,폐업,2006-02-27,대성동물병원,35.91718948,128.5464011
15,,,1981-08-24,폐업,2000-06-09,천일동물병원,,
16,,대구광역시 북구 원대로 34 (고성동2가),1981-08-24,폐업,2008-10-09,서부동물병원,35.88016084,128.5780514
17,,대구광역시 북구 대학로 141 (산격동),2003-04-11,폐업,2018-04-27,다나동물병원,35.89645107,128.6107789
18,,대구광역시 북구 구암로60길 19 (구암동),2005-03-04,폐업,2006-11-28,임프로바이오동물병원,35.93705504,128.5661712
19,,대구광역시 북구 구암로60길 19 (구암동),2006-12-04,폐업,2007-11-07,임프로바이오동물병원,35.93705504,128.5661712
20,,대구광역시 북구 구암로60길 19 (구암동),2007-11-07,폐업,2010-09-03,임프로바이오,35.93705504,128.5661712
21,50311,경상남도 창녕군 대합면 십이리1길 10,1973-02-12,폐업,2019-12-31,대합가축병원,35.61288356,128.4677185
22,,경상남도 창녕군 창녕읍 화왕산1로 12,2004-10-15,폐업,2005-12-29,자연동물병원,35.53711147,128.4937563
23,,경상남도 창녕군 창녕읍 우포2로 1215,1979-06-08,폐업,2014-01-02,박수의과병원,35.543588,128.4861168
24,,경상남도 창녕군 대지면 구미2길 27,1979-12-01,폐업,2015-02-26,명성동물병원,35.527897,128.4631959
25,,,1995-04-29,폐업,2003-08-14,황영균동물병원,35.53711147,128.4937563
26,50322,경상남도 창녕군 창녕읍 창녕대로 20-1,1999-02-25,폐업,2009-01-02,창생동물병원,35.54143137,128.4877795
27,50300,경상남도 창녕군 이방면 이방로 976,1964-11-02,폐업,2017-07-12,이방가축병원&lt;산업동물출장진료전문병원&gt;,35.60277727,128.3793156
28,50361,경상남도 창녕군 남지읍 선창길 10-1,1967-12-07,폐업,2007-09-03,우리가축병원,35.3884211,128.4789539
29,50345,경상남도 창녕군 영산면 로터리길 38,1963-04-11,폐업,2023-02-07,영산가축병원&lt;산업동물출장진료전문병원&gt;,35.45459945,128.5272733
30,,,1997-12-29,폐업,2012-06-26,백호종합동물병원,34.97712996,128.3201283
31,52942,경상남도 고성군 고성읍 중앙로15번길 62,2013-08-23,폐업,2019-10-11,경남수의 동물병원,34.97712996,128.3201283
32,52942,경상남도 고성군 고성읍 동외로 163-14,2000-07-01,폐업,2003-12-09,고성동물병원,34.97590736,128.3224107
33,,,2000-07-06,폐업,2004-12-27,동양가축약품병원,34.98148806,128.3345782
34,,경상남도 함양군 수동면 수동길 17,2003-03-15,폐업,2021-04-09,중앙동물병원,35.52202457,127.7839285
35,,경상남도 함양군 안의면 종로길 5-1,2003-03-15,폐업,2020-03-31,고려동물병원,35.6281939,127.8097654
36,,,1989-07-05,폐업,2006-12-01,한일 동물병원,,
37,,,1994-01-20,폐업,2009-04-13,협동 동물병원,,
38,,,2001-07-16,폐업,2003-10-13,예당 동물병원,,
39,,,2003-10-13,폐업,2008-01-07,예당동물병원,,
40,,,2008-01-09,폐업,2008-02-19,예당가축병원,,
41,,,2008-02-21,폐업,2008-10-08,예당가축병원,,
42,,,2008-10-09,폐업,2012-08-29,예당가축병원,,
43,,,2009-02-19,폐업,2011-09-20,한일동물병원,,
44,,,2010-03-09,폐업,2010-03-24,대성인터내셔널동물병원,36.68249868,126.826541
45,,,1999-10-22,폐업,2005-08-04,맑은,,
46,,,2000-03-06,폐업,2005-12-27,아우내,36.76035466,127.295802
47,,,2000-11-16,폐업,2009-09-24,용,,
48,,,2001-05-23,폐업,2005-08-18,늘푸른동물병원(신방점),,
49,31016,충청남도 천안시 서북구 성환읍 성환중앙로 18,1994-08-19,폐업,2021-05-06,한샘동물병원,36.91550174,127.1265545
50,,,2002-04-11,폐업,2006-01-13,가람,,
51,,"충청남도 천안시 동남구 충절로 42, 102동 105호 (신부동,대아@ 상가)",2002-04-15,폐업,2004-04-14,대아,36.81533811,127.1546014
52,,충청남도 천안시 동남구 원거리9길 4 (원성동),2002-05-15,폐업,2003-05-30,신대원,36.80019546,127.151513
53,,,2002-10-30,폐업,2004-08-05,성환,,
54,31177,"충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스 1층)",2002-12-05,폐업,2016-06-30,쿨펫 천안신방점,36.78715234,127.1175731
55,,,2003-04-25,폐업,2004-05-25,쌍용동물병원,,
56,,"충청남도 천안시 서북구 성정두정로 1 (성정동,롯데마트 3층)",2003-12-10,폐업,2004-08-30,아야야 동물병원,36.82650392,127.1377782
57,,,2004-03-17,폐업,2004-04-22,대원동물병원,,
58,,"충청남도 천안시 서북구 서부대로 696 (성정동,탑존빌딩102호)",2004-03-26,폐업,2010-10-04,도끄메리쫑 동물병원,36.82917461,127.1306983
59,,,2004-06-25,폐업,2004-08-26,대원동물병원,,
60,,충청남도 예산군 예산읍 역전로 121,2011-10-06,폐업,2019-11-29,닥터차동물병원,36.69004526,126.8268741
61,,충청남도 예산군 고덕면 고덕중앙로 68,2012-08-30,폐업,2014-05-14,예당가축병원,36.7454397,126.701317
62,,"충청남도 예산군 예산읍 역전로125번길 42, 206호 (샤인하우스)",2013-03-19,폐업,2019-08-31,푸른동물병원,36.69325323,126.8267589
63,32406,충청남도 예산군 덕산면 수암산로 160,2015-09-15,폐업,2016-12-30,LG동물병원,36.68993642,126.6684338
64,32403,충청남도 예산군 고덕면 대천3길 30,2016-01-25,폐업,2016-07-25,한울산업동물병원,36.74439141,126.7033608
65,32403,충청남도 예산군 고덕면 대천3길 30,2016-07-26,폐업,2019-06-30,한울산업동물병원,36.74439141,126.7033608
66,32403,충청남도 예산군 고덕면 황금뜰로 215,2017-05-04,폐업,2022-11-16,윤동물병원·약품(출장진료전문),36.74644812,126.7013961
67,31121,"충청남도 천안시 동남구 대흥로 333, 나동 101호 (신부동, 천광빌딩)",2013-05-03,폐업,2016-06-23,열린동물병원,36.81752162,127.148173
68,31070,충청남도 천안시 동남구 무남길 16 (삼룡동),2015-01-09,폐업,2022-03-22,서일가축병원,36.78385572,127.1687466
69,31151,"충청남도 천안시 동남구 순천향1길 16, 2층 203호 (쌍용동, 쌍용신성아파트)",2015-07-17,폐업,2020-06-15,건국동물병원(산업동물에 대한 출장진료를 전문으로 함),36.80115963,127.129913
70,31125,충청남도 천안시 동남구 충절로 35 (신부동),2015-08-07,폐업,2016-01-11,88동물의료원,36.81584024,127.155706
71,31125,충청남도 천안시 동남구 충절로 35-0 (신부동),2016-01-14,폐업,2018-03-23,88동물의료원천안아산동물병원,36.81584024,127.155706
72,,,1976-02-13,폐업,2006-01-24,송,36.91592211,127.1258508
73,,,1980-07-25,폐업,2006-03-03,천안,,
74,,충청남도 천안시 동남구 쌍용대로 187 (봉명동),1983-05-14,폐업,2006-04-18,서부종합,36.81420547,127.1312712
75,31234,충청남도 천안시 동남구 목천읍 남부대로 1012,2016-09-20,폐업,,S&amp;P Bio,36.77138843,127.2224754
76,,"충청남도 천안시 서북구 공단로 95, 108호 (성성동)",2009-04-02,폐업,2011-09-06,마일스톤 피그 클리닉,36.84454341,127.1195359
77,,,2009-08-14,폐업,2010-04-12,천성벳동물병원,36.91209434,127.1250967
78,,,1992-05-21,폐업,2008-01-08,정동물병원,36.80460543,127.1367515
79,31254,충청남도 천안시 동남구 병천면 충절로 1757-6,1995-02-08,폐업,2017-09-29,전종한동물병원,36.76263612,127.2972702
80,,충청남도 천안시 동남구 버들로 146 (원성동),1995-11-21,폐업,2003-12-10,신천안,36.80615608,127.1596203
81,31168,"충청남도 천안시 서북구 공원로 196, 지하1층 (불당동, 펜타포트 이마트)",2012-04-03,폐업,2013-04-29,쿨펫동물병원,36.79828794,127.0984856
82,,,2005-09-30,폐업,2007-02-26,PETRIA 애견종합동물병원,37.13073708,128.2032531
83,27166,충청북도 제천시 의림대로 182-1 (중앙로2가),2009-09-30,폐업,2019-07-17,제천종합동물병원,37.14357463,128.2108074
84,,,2009-12-23,폐업,2011-03-02,펫프렌즈동물병원 제천,37.12345326,128.2200468
85,,,2010-11-02,폐업,2012-01-02,쿨펫동물병원,,
86,,충청북도 음성군 금왕읍 무극로 290,1992-10-09,폐업,2012-10-02,무극동물병원,36.99289438,127.5908651
87,,충청북도 음성군 대소면 새미실길45번길 141,1995-05-16,폐업,2009-09-21,(주)팜스코 축산기술센타,36.98851294,127.4823746
88,,충청북도 음성군 금왕읍 무극로 274,2003-08-19,폐업,2008-09-24,본 동물병원,36.99246467,127.5892406
89,,"충청북도 음성군 대소면 대금로 205, 106호 (음성IC 타운)",2007-02-13,폐업,2009-04-20,청림한별동물병원,36.98009984,127.4630493
90,,,2009-04-22,폐업,2011-06-01,음성군 야생동물구조관리사업소,,
91,27613,"충청북도 음성군 감곡면 음성로 2164, 한길동물병원",2016-04-08,폐업,2019-12-12,한길동물병원 (출장진료전문병원),37.07560094,127.6132175
92,27628,충청북도 음성군 금왕읍 음성로 1203,2013-03-07,폐업,2016-02-17,테오종합동물병원,36.99623214,127.5953497
93,27628,충청북도 음성군 금왕읍 음성로 1203,2016-02-18,폐업,2019-06-07,테오동물병원,36.99623214,127.5953497
94,,,2011-06-16,폐업,2014-07-30,충북야생동물센터,,
95,,,1980-07-03,폐업,2014-08-18,협신동물병원,,
96,,,1980-07-03,폐업,2007-01-15,한일동물병원,37.13736526,128.2041708
97,27153,충청북도 제천시 내제로29나길 5 (청전동),1991-04-30,폐업,2019-01-09,현대동물병원,37.14861689,128.2090373
98,,,1996-09-12,폐업,2012-02-29,나라동물병원,,
99,,,1997-10-17,폐업,2006-07-25,화랑동물병원,,
100,2860,서울특별시 성북구 동소문로 36 (동소문동3가),2000-09-05,폐업,2018-04-02,베스트종합동물병원,37.58994958,127.0072088
101,,,2001-02-03,폐업,2007-06-04,북악동물병원,,
102,,,2001-05-14,폐업,2004-03-04,청솔동물병원,,
103,,,2001-05-25,폐업,2008-01-08,펫케어동물병원,37.60525138,127.0231306
104,3504,"서울특별시 은평구 수색로 217 (수색동, 수색자이 1단지 107호)",2015-02-26,폐업,2018-01-31,조은동물병원,37.57959291,126.8957591
105,3497,"서울특별시 은평구 증산서길 132, 102호 (증산동)",2015-03-27,폐업,2018-02-13,아리동물병원,37.58655075,126.9079859
106,3463,서울특별시 은평구 백련산로 143 (응암동),2015-05-26,폐업,2021-07-05,스머프동물병원,37.59804697,126.9220471
107,,"서울특별시 서초구 서초대로4길 4 (방배동,대진빌딩1층)",2009-07-31,폐업,2018-04-30,화인종합동물병원,37.48546935,126.9823235
108,,,2000-08-02,폐업,2010-10-10,신동물병원,,
109,,,2001-11-02,폐업,2007-03-21,유종합동물병원,37.60902916,126.9188399
110,3395,서울특별시 은평구 서오릉로 80 (대조동),2002-05-28,폐업,2005-04-04,은평동물병원,37.60759068,126.919296
111,,,1995-05-11,폐업,2009-06-05,닥터은동물병원,,
112,6637,"서울특별시 서초구 사임당로 97, 1층 (서초동)",2013-04-01,폐업,2022-12-29,강남서초 동물병원,37.49028115,127.0174809
113,,,2005-12-09,폐업,2016-12-30,우성메디펫동물병원,,
114,,,2004-04-01,폐업,2005-01-26,잠원동물병원,37.51165331,127.0094862
115,,서울특별시 양천구 신월로 199 (신월동),1994-07-07,폐업,2008-08-20,신월동물병원,37.52037985,126.8415645
116,,,1994-08-12,폐업,2012-08-08,강성동물병원,,
117,7965,서울특별시 양천구 등촌로 58 (목동),1995-09-05,폐업,2013-05-27,하니동물병원,37.53512764,126.8608866
118,,,1995-04-25,폐업,2012-05-01,상아동물병원,,
119,,,2010-04-12,폐업,2010-11-08,펫프렌즈동물병원양재,,
120,,"서울특별시 서초구 효령로 229 (서초동,(지상1층))",2004-04-09,폐업,2014-05-02,서울동물병원,37.48388852,127.0060912
121,,"서울특별시 양천구 목동서로 170 (목동,홈에버 목동점 1층)",2008-04-18,폐업,2009-08-31,닥터펫 동물병원,37.53032738,126.8703867
122,,,2008-08-22,폐업,2011-08-11,킴스동물병원,,
123,7997,서울특별시 양천구 목동동로 309 (목동),2008-10-21,폐업,2022-12-20,행복한세상동물병원,37.52937304,126.8731939
124,7948,서울특별시 양천구 목동중앙본로 113 (목동),2008-11-07,폐업,2014-12-02,대현동물병원,37.54580517,126.8682214
125,7937,서울특별시 양천구 목동로 231 (신정동),2009-02-18,폐업,2012-07-20,리베 동물의료센터,37.52922605,126.860629
126,,"서울특별시 양천구 오목로 299 (목동,트라팰리스 1층)",2009-04-20,폐업,2009-07-01,쿨펫이마트목동점,37.52599264,126.8674932
127,4722,"서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)",2016-05-23,폐업,2020-04-08,동물병원소풍,37.55544593,127.015731
128,4781,서울특별시 성동구 뚝섬로 377 (성수동2가),2004-07-30,폐업,2016-11-09,로얄벳성수점동물병원,37.53970954,127.0501082
129,,,2003-06-10,폐업,2010-12-30,내친구동물병원,,
130,,,2003-09-06,폐업,2004-07-30,아이러브 팻 동물병원,,
131,,서울특별시 성동구 금호산길 63-1 (금호동2가),2004-01-20,폐업,2004-06-07,강아지나라동물병원,37.55399957,127.0164386
132,,"서울특별시 성동구 난계로 35 (금호동1가,외4필지)",2004-03-10,폐업,2009-05-01,늘푸른동물병원,37.55549736,127.0216803
133,,서울특별시 서초구 반포대로21길 23 (서초동),2003-07-05,폐업,2004-05-25,엔터펫 종합동물병원,37.48771008,127.0056304
134,,,2004-10-19,폐업,2005-07-14,독스동물병원,37.55825908,127.0326656
135,,,2007-01-26,폐업,2013-09-25,성동동물종합병원,,
136,,"서울특별시 양천구 목동서로 77 (목동,현대월드상가 101-1)",2006-09-27,폐업,2008-08-01,행복동물병원,37.53598581,126.8751519
137,,"서울특별시 양천구 목동서로 170 (목동,2층)",2007-02-12,폐업,2007-12-31,닥터펫동물병원,37.53032738,126.8703867
138,8023,"서울특별시 양천구 목동로 161 (신정동, 덕수프라자)",2007-10-10,폐업,2019-09-06,우리들 동물메디컬 센터,37.52291506,126.8620518
139,,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 지하2층)",2007-12-03,폐업,2008-10-15,쿨펫동물병원,37.52937304,126.8731939
140,3404,서울특별시 은평구 서오릉로 91 (역촌동),2013-07-10,폐업,2014-01-24,역촌동물병원,37.60802709,126.9181852
141,4741,"서울특별시 성동구 독서당로 434, 308호 (응봉동, 대림종합상가)",2015-12-14,폐업,2019-11-22,해치동물병원,37.55193036,127.0303747
142,,서울특별시 성동구 금호로 148-1 (금호동1가),2003-01-24,폐업,2003-02-03,강아지나라동물병원,37.55435534,127.0176569
143,,서울특별시 성동구 장터길 18 (금호동4가),2003-01-24,폐업,2009-03-03,박종태종합동물병원,37.54820202,127.0149394
144,,,2003-01-24,폐업,2008-08-29,성동동물병원,37.55588006,127.0263176
145,,,2003-01-24,폐업,2006-12-29,퍼스트펫동물병원,,
146,,"서울특별시 성동구 독서당로 206 (옥수동,2층)",2003-01-24,폐업,2017-12-29,생명사랑동물병원,37.54324949,127.0108523
147,,서울특별시 성동구 금호산길 63-1 (금호동2가),2003-04-15,폐업,2003-12-31,강아지나라동물병원,37.55399957,127.0164386
148,4778,서울특별시 성동구 왕십리로 100 (성수동1가),2003-04-15,폐업,2020-10-24,성수동물병원,37.54646278,127.0419937
149,,,2003-05-31,폐업,2013-12-11,한사랑동물병원,,
150,3330,"서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)",2012-07-04,폐업,2023-07-31,도그원 동물의료센터,37.6196405,126.9148419
151,3409,서울특별시 은평구 진흥로 17 (역촌동),2013-06-27,폐업,2015-07-07,튼튼동물병원,37.60013796,126.9145103
152,,,2003-09-06,폐업,2004-06-29,펫스테이션 클리닉센터,37.501745,126.9842349
153,,,2003-10-17,폐업,2003-12-12,두코동물병원,,
154,,"서울특별시 서초구 사평대로 80 (반포동,카리스빌딩 1,2층)",2009-06-17,폐업,2011-08-04,한국스템셀동물메디컬센터,37.49804635,126.9905755
155,4607,"서울특별시 중구 동호로 204, 청화빌딩 1층 (신당동)",2004-05-14,폐업,2020-06-01,차지우동물병원,37.55621642,127.0070643
156,,,2005-03-03,폐업,2006-04-03,행복한둥지동물병원,,
157,,서울특별시 중랑구 망우로 247 (중화동),2002-12-03,폐업,2008-06-18,로얄메디컬센터,37.59543523,127.07713
158,,,2003-02-04,폐업,2006-02-22,세진종합동물병원,,
159,,,2003-09-26,폐업,2004-01-30,비비펫동물병원,,
160,4700,"서울특별시 성동구 마장로 137, 221동 134호 (상왕십리동, 텐즈힐몰)",2014-11-27,폐업,2023-06-02,텐즈힐링동물병원,37.56936234,127.0218257
161,4707,"서울특별시 성동구 왕십리로 340, 1층 (도선동)",2015-01-05,폐업,2020-02-04,SL동물병원,37.56334254,127.0295398
162,,서울특별시 양천구 중앙로 230 (신정동),2001-04-04,폐업,2003-04-15,바우동물병원,37.51718737,126.8517474
163,,,2001-06-19,폐업,2006-02-20,황경택동물병원,,
164,,서울특별시 성동구 금호로 82-1 (금호동1가),2011-06-29,폐업,2017-03-23,금호동물병원,37.55074417,127.0230278
165,3409,서울특별시 은평구 진흥로 17 (역촌동),2016-05-09,폐업,2017-04-29,튼튼동물병원,37.60013796,126.9145103
166,3402,"서울특별시 은평구 연서로 72, 1층 101호 (역촌동)",2003-11-14,폐업,2023-09-26,우신동물병원,37.60556914,126.9128213
167,,,2004-02-13,폐업,2011-03-30,패미원동물병원,37.61640631,126.9204543
168,,,2004-02-18,폐업,2008-07-31,에이스동물병원,,
169,,,2004-05-14,폐업,2009-04-24,해오름동물병원,37.60103731,126.9230949
170,,,2004-10-25,폐업,2009-10-15,예스플러스 동물병원,37.60778176,126.9290157
171,,서울특별시 중구 다산로 145-1 (신당동),1975-09-30,폐업,2004-01-17,문화동물병원,37.55688136,127.0086661
172,,"서울특별시 서초구 서초중앙로 99 (서초동,1층)",2003-02-26,폐업,2008-03-18,24시열린동물병원,37.4906078,127.0110602
173,,"서울특별시 서초구 신반포로47길 18-6 (잠원동,1층)",2003-05-02,폐업,2017-04-24,한국수의과학연구소부설동물병원,37.51151998,127.0168879
174,,서울특별시 양천구 목동중앙본로 113 (목동),1996-01-28,폐업,2008-11-07,대현동물병원,37.54580517,126.8682214
175,,,1997-01-10,폐업,2006-02-03,애완동물병원,,
176,,,2004-11-04,폐업,2007-06-14,은평동물병원(은평본원),37.60759068,126.919296
177,3350,"서울특별시 은평구 연서로 252 (불광동, 세종빌딩)",2005-03-03,폐업,2007-02-01,연신내 동물병원,37.61949018,126.919965
178,,,2005-03-29,폐업,2007-12-07,튼튼동물병원,37.60037303,126.9146126
179,,,2005-07-07,폐업,2008-11-24,멍이맘동물병원,,
180,3350,서울특별시 은평구 연서로 260 (불광동),2007-02-01,폐업,2016-07-01,연신내동물병원,37.62000992,126.920925
181,,"서울특별시 양천구 목동서로 57 (목동,현대파리지앙 121호)",2001-08-10,폐업,2012-05-15,목동동물병원,37.53667311,126.876959
182,,서울특별시 양천구 신목로 78 (신정동),2001-12-20,폐업,2007-03-22,슈슈애견동물병원,37.52166106,126.8713588
183,,"서울특별시 양천구 목동서로 170 (목동,한국까르프 1층)",2002-05-02,폐업,2003-04-14,닥터펫 동물병원,37.53032738,126.8703867
184,6771,"서울특별시 서초구 매헌로 16, 지1층 (양재동, 이마트 양재점)",2012-03-26,폐업,2012-07-31,이리온 for 몰리스,37.4633949,127.0341236
185,,,2003-06-19,폐업,2004-03-30,잠원동물병원,,
186,,서울특별시 양천구 목동동로8길 7 (신정동),1997-10-29,폐업,2019-09-16,이솝동물병원,37.51804241,126.8677311
187,,"서울특별시 양천구 목동서로 35 (목동,목동프라자 105)",1998-05-16,폐업,2009-12-14,가나동물병원,37.53763424,126.8792319
188,,"서울특별시 양천구 목동중앙본로 10 (목동,극동상가 103)",1999-03-09,폐업,2019-10-22,나우동물종합병원,37.53853353,126.8685482
189,,,2009-09-16,폐업,2010-11-29,닥터펫 동물병원,37.53032738,126.8703867
190,,,2011-02-16,폐업,2011-04-26,닥터펫동물병원,,
191,,서울특별시 양천구 공항대로 636 (목동),2004-06-30,폐업,2006-03-17,행복한 동물병원,37.54669707,126.8725013
192,,,2004-08-02,폐업,2005-03-10,덕터펫 동물병원,,
193,3392,서울특별시 은평구 서오릉로 94 (대조동),2011-04-05,폐업,2012-05-31,사랑이가득한동물병원,37.60902916,126.9188399
194,3302,서울특별시 은평구 진관3로 70 (진관동),2011-07-19,폐업,2012-06-18,뉴타운동물병원,37.6422212,126.9197565
195,3461,서울특별시 은평구 은평로 111 (응암동),2011-09-15,폐업,2015-03-10,쿨펫동물병원 은평점,37.60035717,126.9173027
196,3397,서울특별시 은평구 불광로 20 (대조동),2011-11-03,폐업,2016-12-02,쿨펫 동물병원,37.60972099,126.9261139
197,,"서울특별시 양천구 목동서로 387 (신정동,세림프라자 106호)",2011-06-07,폐업,2017-02-28,하나동물병원,37.51608427,126.858166
198,,서울특별시 양천구 월정로 137 (신월동),2003-02-19,폐업,2013-04-02,다정종합동물병원,37.53117707,126.8345638
199,,서울특별시 양천구 월정로 46 (신월동),2003-04-14,폐업,2008-07-15,햇살동물병원,37.52382509,126.8394369
200,8091,서울특별시 양천구 중앙로 230 (신정동),2003-04-15,폐업,2016-12-21,바우동물병원,37.51718737,126.8517474
201,,,2003-04-22,폐업,2003-07-01,닥터펫 동물병원,,
202,,,2003-07-18,폐업,2004-07-12,닥터펫동물병원,,
203,,"서울특별시 양천구 신정로 312 (신정동,뉴목동프라자 113호)",2003-08-14,폐업,2003-11-18,하릅강아지 동물병원,37.51323714,126.8526498
204,4701,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)",2018-03-30,폐업,2022-10-20,다온동물병원,37.56611005,127.0247567
205,,"서울특별시 서초구 효령로53길 45 (서초동,이오빌1505호)",2004-02-07,폐업,2007-01-03,닥터캣연구원 동물병원,37.48655609,127.0100014
206,,"서울특별시 서초구 사평대로53길 27 (반포동,1층)",2004-03-03,폐업,2008-09-30,두코동물병원,37.50544967,127.0184704
207,,,2002-09-23,폐업,2003-07-25,My Friends 동물병원,37.50150423,126.9859609
208,,"서울특별시 서초구 신반포로 330 (반포동,1층)",2003-01-06,폐업,2016-08-30,STAR 동물종합병원,37.51037588,127.0169237
209,6568,"서울특별시 서초구 서초대로 3-4, 지하1층 111호 (방배동, 방배디오슈페리움1)",2012-07-27,폐업,2017-05-25,야셀동물병원,37.48598137,126.9801739
210,6771,서울특별시 서초구 매헌로 16 (양재동),2012-08-01,폐업,2013-02-28,이리온 for 몰리스,37.4633949,127.0341236
211,4721,"서울특별시 성동구 행당로1길 23, 1층 (금호동1가)",2020-10-24,폐업,,신당햇살동물병원,37.55737274,127.0215284
212,,,2003-08-13,폐업,2004-04-01,(주)펫프렌즈 반포동물병원,37.50150423,126.9859609
213,,,1998-10-22,폐업,2004-04-07,서울동물병원,,
214,,"서울특별시 서초구 도구로 115-1 (방배동,1층)",1999-07-01,폐업,2008-05-16,에덴동물병원,37.48681493,126.9828931
215,4804,서울특별시 성동구 천호대로 288 (용답동),2014-09-01,폐업,2022-05-20,24시LC동물의료센터,37.56640513,127.0498572
216,8093,"서울특별시 양천구 목동서로 387, 세림프라자 106호 (신정동)",2017-03-02,폐업,2019-01-15,하나동물병원,37.51608427,126.858166
217,,,2010-10-25,폐업,2016-10-05,넥스펫동물병원,,
218,,,2011-07-26,폐업,2015-07-15,해치동물병원,37.49734522,127.0197243
219,,,2004-01-15,폐업,2004-10-05,21세기동물병원,,
220,,,2003-11-20,폐업,2005-10-21,예일동물병원,,
221,,,2004-02-18,폐업,2004-08-27,모래내동물병원,,
222,,,2004-03-15,폐업,2004-06-05,러브펫 동물병원,,
223,,"서울특별시 서대문구 북아현로 40, 110호 (북아현동,경남아파트상가)",2004-04-09,폐업,2010-04-13,세란동물병원,37.56093471,126.9534724
224,,,2004-10-12,폐업,2005-08-31,모래내동물병원,,
225,,"서울특별시 서초구 사임당로 99 (서초동,1층)",1999-12-28,폐업,2005-11-04,우리들의동물병원,37.49034803,127.0176981
226,7937,"서울특별시 양천구 목동로 231, 1,2층 (신정동)",2015-02-02,폐업,2017-01-05,홍익동물병원,37.52922605,126.860629
227,8095,"서울특별시 양천구 목동서로 349, 104호 (신정동, 센트럴프라자)",2015-12-03,폐업,2023-03-24,공원옆동물병원,37.51749381,126.8626078
228,8003,"서울특별시 양천구 오목로 280, 1층 (목동)",2016-10-25,폐업,2022-11-23,리베동물메디컬센터,37.5251601,126.8653353
229,6643,"서울특별시 서초구 효령로 347, 서광빌딩 101호 (서초동)",2016-10-06,폐업,2019-08-05,다스림 양한방 동물병원,37.48686841,127.0191123
230,6691,"서울특별시 서초구 방배천로8길 34, 1층 (방배동)",2017-12-08,폐업,2023-06-21,이삭동물병원,37.48041749,126.9815028
231,,,2005-01-28,폐업,2014-04-23,잠원동물병원,37.51165331,127.0094862
232,,,2005-09-01,폐업,2006-11-06,반포동물병원,37.50140395,126.9859989
233,,,2009-03-09,폐업,2010-03-31,쿨펫동물병원,37.56368408,127.0351603
234,3409,서울특별시 은평구 진흥로 17 (역촌동),2007-12-17,폐업,2013-06-27,튼튼동물병원,37.60013796,126.9145103
235,,,2008-03-31,폐업,2009-06-26,허브종합동물병원,,
236,,,2008-08-13,폐업,2009-05-11,드림펫동물병원,,
237,3497,서울특별시 은평구 증산서길 132 (증산동),2008-11-26,폐업,2015-03-27,이강신동물병원,37.58655075,126.9079859
238,,서울특별시 양천구 중앙로 291 (신월동),2002-05-11,폐업,2020-03-19,애니케어동물병원,37.52217406,126.8487498
239,,서울특별시 양천구 오목로 318 (목동),2002-06-07,폐업,2006-02-22,메디펫종합 동물병원,37.52463006,126.8697299
240,,"서울특별시 양천구 목동서로 387 (신정동,세림프라자 106호)",2002-12-13,폐업,2011-06-02,하나 동물병원,37.51608427,126.858166
241,,서울특별시 양천구 신목로 59 (신정동),2003-02-19,폐업,2008-08-01,이지동물병원,37.52077735,126.8699143
242,6506,"서울특별시 서초구 신반포로 143, 경남쇼핑센터 1층 8호 (반포동)",2017-12-18,폐업,2018-04-04,신세계동물병원,37.50682458,126.9961842
